Local authorities,March 2021,March 2020,Difference
Adur,351112,310340,13.1
Allerdale,163403,152725,7.0
Amber Valley,203040,177602,14.3
Arun,310821,282352,10.1
Ashfield,167393,146590,14.2
Ashford,312957,295451,5.9
Babergh,312548,283918,10.1
Barking and Dagenham,317185,300166,5.7
Barnet,534005,522194,2.3
Barnsley,137708,124196,10.9
Barrow-in-Furness,136403,117421,16.2
Basildon,324039,309499,4.7
Basingstoke and Deane,317088,299861,5.7
Bassetlaw,186025,160006,16.3
Bath and North East Somerset,373348,338787,10.2
Bedford,305419,281119,8.6
Bexley,367015,339110,8.2
Birmingham,207363,186673,11.1
Blaby,249077,232678,7.0
Blackburn with Darwen,125527,115138,9.0
Blackpool,113053,107769,4.9
Bolsover,149395,128431,16.3
Bolton,160095,141493,13.1
Boston,174063,155768,11.7
Bournemouth Christchurch and Poole,307001,281173,9.2
Bracknell Forest,350644,330824,6.0
Bradford,154500,136317,13.3
Braintree,301464,280859,7.3
Breckland,251309,228145,10.2
Brent,510533,467597,9.2
Brentwood,454364,414607,9.6
Brighton and Hove,405451,362205,11.9
Broadland,290964,261693,11.2
Bromley,463226,431300,7.4
Bromsgrove,294805,293023,0.6
Broxbourne,361266,338203,6.8
Broxtowe,216668,196313,10.4
Buckinghamshire,425849,397966,7.0
Burnley,93572,86747,7.9
Bury,209652,181805,15.3
Calderdale,173977,146412,18.8
Cambridge,461935,444113,4.0
Cambridgeshire,311944,292873,6.5
Camden,796442,847815,-6.1
Cannock Chase,191413,173394,10.4
Canterbury,328203,296522,10.7
Carlisle,145202,132179,9.9
Castle Point,333416,306850,8.7
Central Bedfordshire,323806,303023,6.9
Charnwood,246522,224845,9.6
Chelmsford,357666,336370,6.3
Cheltenham,311982,277117,12.6
Cherwell,304258,290339,4.8
Cheshire East,262936,227346,15.7
Cheshire West and Chester,219869,207713,5.9
Chesterfield,170221,158926,7.1
Chichester,414699,383048,8.3
Chorley,192860,180656,6.8
City of Bristol,317210,283293,12.0
City of Derby,176286,159352,10.6
City of Kingston upon Hull,120837,114918,5.2
City of London,864354,847240,2.0
City of Nottingham,161649,148646,8.7
City of Peterborough,203886,193346,5.5
City of Plymouth,194157,178183,9.0
City of Westminster,927993,1009273,-8.1
Colchester,275593,258158,6.8
Copeland,135988,122199,11.3
Corby,200963,186810,7.6
Cornwall,273153,236553,15.5
Cotswold,428389,391534,9.4
County Durham,115825,100268,15.5
Coventry,199730,188823,5.8
Craven,219129,213619,2.6
Crawley,280490,279051,0.5
Croydon,385345,369396,4.3
Cumbria,174199,156182,11.5
Dacorum,428422,402705,6.4
Darlington,141630,126067,12.3
Dartford,324905,296658,9.5
Daventry,290905,263491,10.4
Derbyshire,203555,179857,13.2
Derbyshire Dales,281661,270862,4.0
Devon,286602,263657,8.7
Doncaster,149551,129815,15.2
Dorset,315051,288386,9.2
Dover,275797,247252,11.5
Dudley,201190,177946,13.1
Ealing,490426,479008,2.4
East Cambridgeshire,300712,285050,5.5
East Devon,307598,291190,5.6
East Hampshire,410679,371136,10.7
East Hertfordshire,415995,387468,7.4
East Lindsey,200819,173284,15.9
East Northamptonshire,256524,248909,3.1
East Riding of Yorkshire,204200,179573,13.7
East Staffordshire,194320,185747,4.6
East Suffolk,281854,240247,17.3
East Sussex,303052,279087,8.6
Eastbourne,256343,241514,6.1
Eastleigh,295809,284035,4.1
Eden,228051,189685,20.2
Elmbridge,661964,586818,12.8
Enfield,428257,392795,9.0
Epping Forest,477548,450650,6.0
Epsom and Ewell,512323,459051,11.6
Erewash,187940,166648,12.8
Essex,330908,309091,7.1
Exeter,296636,261203,13.6
Fareham,314041,291857,7.6
Fenland,200178,187473,6.8
Folkestone and Hythe,293076,259585,12.9
Forest of Dean,276524,236832,16.8
Fylde,214368,186362,15.0
Gateshead,138601,129259,7.2
Gedling,222645,190873,16.6
Gloucester,213533,203549,4.9
Gloucestershire,295551,269280,9.8
Gosport,225508,213010,5.9
Gravesham,290077,280197,3.5
Great Yarmouth,184135,169637,8.5
Greenwich,416306,394697,5.5
Guildford,461508,446550,3.3
Hackney,604466,577649,4.6
Halton,160524,139733,14.9
Hambleton,253289,232344,9.0
Hammersmith and Fulham,804517,719974,11.7
Hampshire,334452,313767,6.6
Harborough,325062,292180,11.3
Haringey,607029,542472,11.9
Harlow,275743,268366,2.7
Harrogate,318130,289296,10.0
Harrow,479417,450637,6.4
Hart,408075,408345,-0.1
Hartlepool,120141,108638,10.6
Hastings,234149,219560,6.6
Havant,294505,262331,12.3
Havering,390902,364650,7.2
Herefordshire,260597,241940,7.7
Hertfordshire,418638,393624,6.4
Hertsmere,503429,452032,11.4
High Peak,234122,195080,20.0
Hillingdon,419408,408661,2.6
Hinckley and Bosworth,238101,222250,7.1
Horsham,387541,364154,6.4
Hounslow,423197,409652,3.3
Huntingdonshire,276503,258589,6.9
Hyndburn,112209,102676,9.3
Ipswich,207519,191689,8.3
Isle of Wight,253711,223780,13.4
Islington,682485,650972,4.8
Kensington and Chelsea,1332134,1337948,-0.4
Kent,317251,291604,8.8
Kettering,223178,204536,9.1
King's Lynn and West Norfolk ,242687,213124,13.9
Kingston upon Thames,511318,485856,5.2
Kirklees,171939,153024,12.4
Knowsley,148758,131901,12.8
Lambeth,530046,515490,2.8
Lancashire,162953,146812,11.0
Lancaster,173419,155185,11.8
Leeds,211818,186820,13.4
Leicester,202770,183663,10.4
Leicestershire,255453,231270,10.5
Lewes,356976,313762,13.8
Lewisham,432500,412814,4.8
Lichfield,266772,259733,2.7
Lincoln,171574,155913,10.0
Lincolnshire,207398,185009,12.1
Liverpool,156855,132828,18.1
Luton,239608,232091,3.2
Maidstone,307072,285672,7.5
Maldon,344874,327875,5.2
Malvern Hills,275199,273709,0.5
Manchester,211107,181623,16.2
Mansfield,151651,140925,7.6
Medway,258787,239359,8.1
Melton,253078,224723,12.6
Mendip,281392,262788,7.1
Merton,557445,510522,9.2
Mid Devon,257894,240786,7.1
Mid Suffolk,301461,257287,17.2
Mid Sussex,391737,367701,6.5
Middlesbrough,121491,111932,8.5
Milton Keynes,274840,261303,5.2
Mole Valley,503385,480117,4.8
New Forest,373274,338618,10.2
Newark and Sherwood,199804,180691,10.6
Newcastle upon Tyne,173968,153897,13.0
Newcastle-under-Lyme,166859,157372,6.0
Newham,378862,370082,2.4
Norfolk,249393,228969,8.9
North Devon,264086,248580,6.2
North East Derbyshire,208015,189274,9.9
North East Lincolnshire,136487,123917,10.1
North Hertfordshire,358507,336779,6.5
North Kesteven,232949,209851,11.0
North Lincolnshire,161092,148006,8.8
North Norfolk,280966,258716,8.6
North Somerset,291790,265126,10.1
North Tyneside,177317,160397,10.5
North Warwickshire,220755,202666,8.9
North West Leicestershire,232132,206056,12.7
North Yorkshire,244208,223740,9.1
Northampton,225681,210859,7.0
Northamptonshire,245875,229201,7.3
Northumberland,177536,155435,14.2
Norwich,212636,206321,3.1
Nottinghamshire,203148,181760,11.8
Nuneaton and Bedworth,198394,180891,9.7
Oadby and Wigston,275165,227346,21.0
Oldham,155647,140304,10.9
Oxford,452297,404562,11.8
Oxfordshire,382673,352412,8.6
Pendle,118771,104633,13.5
Portsmouth,231027,212013,9.0
Preston,143228,126925,12.8
Reading,306181,286973,6.7
Redbridge,454415,420364,8.1
Redcar and Cleveland,139039,122267,13.7
Redditch,218158,208726,4.5
Reigate and Banstead,426396,410903,3.8
Ribble Valley,237597,220535,7.7
Richmond upon Thames,690985,658817,4.9
Richmondshire,234988,210480,11.6
Rochdale,159555,141554,12.7
Rochford,367432,342788,7.2
Rossendale,158521,142997,10.9
Rother,319493,293125,9.0
Rotherham,164470,144060,14.2
Rugby,266509,232014,14.9
Runnymede,441133,419681,5.1
Rushcliffe,301127,282063,6.8
Rushmoor,289335,279034,3.7
Rutland,361762,313139,15.5
Ryedale,283052,235609,20.1
Salford,184692,170128,8.6
Sandwell,170489,156668,8.8
Scarborough,179836,174471,3.1
Sedgemoor,249620,230297,8.4
Sefton,181492,164274,10.5
Selby,225208,198318,13.6
Sevenoaks,463573,438933,5.6
Sheffield,191733,169933,12.8
Shropshire,234225,217404,7.7
Slough,297199,290518,2.3
Solihull,311404,282804,10.1
Somerset,259467,237387,9.3
Somerset West and Taunton,261639,235042,11.3
South Cambridgeshire,403254,373234,8.0
South Derbyshire,230370,194519,18.4
South Gloucestershire,291092,279982,4.0
South Hams,349346,308300,13.3
South Holland,196376,187530,4.7
South Kesteven,262362,218493,20.1
South Lakeland,270956,245900,10.2
South Norfolk,286904,268039,7.0
South Northamptonshire,340582,320542,6.3
South Oxfordshire,450769,412951,9.2
South Ribble,179865,172372,4.3
South Somerset,251575,229449,9.6
South Staffordshire,260724,232908,11.9
South Tyneside,139807,130375,7.2
Southampton,219368,207397,5.8
Southend-on-Sea,308652,286228,7.8
Southwark,508423,498502,2.0
Spelthorne,379251,366006,3.6
St Albans,536064,503209,6.5
St Helens,148513,131794,12.7
Stafford,242091,209298,15.7
Staffordshire,212283,196431,8.1
Staffordshire Moorlands,211151,182832,15.5
Stevenage,291420,282394,3.2
Stockport,260291,232979,11.7
Stockton-on-Tees,144651,134602,7.5
Stoke-on-Trent,125934,113246,11.2
Stratford-on-Avon,353840,317571,11.4
Stroud,301758,286717,5.2
Suffolk,273361,240364,13.7
Sunderland,129838,115942,12.0
Surrey,470174,441630,6.5
Surrey Heath,418252,381469,9.6
Sutton,395397,375271,5.4
Swale,256208,240915,6.3
Swindon,224319,213835,4.9
Tameside,168541,154189,9.3
Tamworth,192165,192146,0.0
Tandridge,471229,451065,4.5
Teignbridge,268467,248510,8.0
Telford and Wrekin,190055,174293,9.0
Tendring,237643,216395,9.8
Test Valley,351273,329660,6.6
Tewkesbury,313288,275548,13.7
Thanet,265517,233513,13.7
Three Rivers,543732,504984,7.7
Thurrock,289490,265756,8.9
Tonbridge and Malling,390617,366893,6.5
Torbay,211617,202728,4.4
Torridge,260047,237197,9.6
Tower Hamlets,496247,477971,3.8
Trafford,332768,299475,11.1
Tunbridge Wells,417066,377298,10.5
Uttlesford,445155,400164,11.2
Vale of White Horse,387514,350670,10.5
Wakefield,166844,152196,9.6
Walsall,183199,166888,9.8
Waltham Forest,490895,436083,12.6
Wandsworth,598279,610358,-2.0
Warrington,216810,197400,9.8
Warwick,322990,311924,3.5
Warwickshire,276842,252612,9.6
Watford,367700,345009,6.6
Waverley,466352,447804,4.1
Wealden,358968,330480,8.6
Wellingborough,234755,217376,8.0
Welwyn Hatfield,396011,395563,0.1
West Berkshire,364933,342168,6.7
West Devon,286625,258101,11.1
West Lancashire,221023,183373,20.5
West Lindsey,184028,171531,7.3
West Oxfordshire,351343,324206,8.4
West Suffolk,284259,252764,12.5
West Sussex,344223,320224,7.5
Wigan,153467,137813,11.4
Wiltshire,297154,269789,10.1
Winchester,434916,416352,4.5
Windsor and Maidenhead,494994,477904,3.6
Wirral,180350,153345,17.6
Woking,454400,410621,10.7
Wokingham,445488,408822,9.0
Wolverhampton,167896,157058,6.9
Worcester,223423,213762,4.5
Worcestershire,255048,242894,5.0
Worthing,297394,275432,8.0
Wychavon,297372,276262,7.6
Wyre,172597,153439,12.5
Wyre Forest,221782,200115,10.8
York,274112,257829,6.3
England,274615,249121,10.2
